,count
每个人每天吃18斤水产很难吗,1
肯定有呆蛙，垃圾桶,1
小日子罪有应得,1
卧槽…混蛋日本,1
有钱洗白宣传，就是没钱处理核污水，为了迎合美国的水资源战略，真的坏！,1
蛙岛瑟瑟发抖。菠萝，芒果都吃不完。,1
主持人，好像p上去的，看上去。。。,1
做成鱼丸蟹棒这些冻货,1
有这个钱不如拿来处理核污水,1
做成猫狗粮,1
日本海鲜，谁吃谁亖,1
我倒要看看谁要日本海鲜,1
辛苦了，保护好自己,1
这么多钱拿来处理废水不好吗,1
日本人终将自食恶果,1
他们本国人都不怎么买了,1
卖印度,1
还没公关费多呢,1
已经把全世界的海产品干死了！,1
卖给韩国人吧！哈哈哈哈,1
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1
小日子快叫你霉爸爸把你水产都收去吧！,1
小心他们出口欧洲后，欧洲人又卖给中国,1
有这么多钱处理污水很难吗？,1
食品，罐头，猫粮,1
这手瘦的皮包骨...,1
随便排反正没人管 然后都偷偷卖到这里doge,1
许氏什么鱼？,1
可以降价卖给美国的,1
小日子会不会出口到别的国家再包装一下发到国内？,1
这个妆怎么有一种假面敢？,1
1000亿你不拿去注入地下，还去排海？,1
有这些b钱不去优化核污水拿来这么干，不是故意的我不信,1
谁的设备？,1
人家不止排 还要排几十年 没人能动他,1
反对的 都是老头老太太,1
抵制所有日货！,1
呆湾1天18公斤，内在怕啦,1
都卖给欧美,1
做成各种罐头 再卖过来是吧,1
姐姐好好看，就是一马平川,1
它缺一颗氢弹,1
有个老师查了一下，东京电力公司背后的两个基金是美国公司,1
拨款700亿用于公关,1
不管了，我反正看清日本了,1
进口日本海产品的国家，中国就对他关闭海产品进入中国关门,1
好省好省  接着省,1
多少？？？,1
健康最美丽，姐姐不要太瘦了！,1
还在氚,1
啊 感觉水黑了好多,1
妈耶，小日子缺德要S啊,1
除了氚之外的几十种放射性物质怎么不提指标情况，敢公开吗,1
都检测不到，你怎么检测的？,1
还想啥对策啊 加大资金媒体洗白啊,1
那这些东西到底是谁来吃呢,1
只提氚,1
50亿 也没多少啊  对比许老板 九牛一毛,1
公关费都700亿呢。。。,1
除了氚以外别忘了还有铯等等,1
有钱你换方案啊，真的不明白日本人要干嘛,1
日本应该接受俄罗斯专家的建议，氢弹是最一劳永逸的做法,1
欧洲大部分国家和美国都不在意，卖给他们吃,1
日本可以出口其他国家海鲜转接,1
6现在就有超标鱼发现了,1
就怕别的国家进口日本加工再转出中国,1
日本只敢提氚，因为天然海水里也有氚。其他危害大的放射元素只字不提。,1
可以，跨个太平洋送美国去,1
日本人一天吃18斤海鲜很难吗,1
妈呀都是老人家,1
才 200？封口都用 700,1
都已经排开了，阻止也晚了，不如我们用氢弹帮小日子它们中和一下吧,1
为啥不用这钱一开始处理核污染水,1
钱这不就转起来了,1
你踏马有那200亿少排点不行吗,1
卧糟！,1
出口美国和韩国,1
日本已经系做假大国了,1
卖给美国,1
有钱支援水产业，没钱处理污水是吧？,1
还有碳和銫,1
吃一条等于吃180条赚翻了,1
这小姐姐好可,1
700亿洗地，200亿支援渔业,1
措施：雇水军、混淆视听、颠倒黑白、贼喊捉贼。。。,1
对策是，低价偷偷卖么,1
有钱支援水产事业，没钱净化核污废水,1
什么随地大小便,1
警惕它们把海产品加工成其他产品再出口,1
180倍！！！！！吃多了吃久了神仙也难救,1
而且日本的检查报告本身就是单方面给出，无法核实的,1
一人18公斤海鲜很难吗？！,1
背景好丑~,1
这群鬼子，就喜欢干一些掩耳盗铃自欺欺人的事。,1
别到第三方国家转一圈，又到我们这里,1
太瘦了吧！营养不良的感觉！,1
只能不吃海鲜了,1
谁还会买日本的海产品啊？？,1
怎么办啊，我现在老是担心得癌症,1
好一个忍者神龟,1
懂不懂？这叫“躬匠大家的儒雅随和”,1
人类补完计划-终,1
，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，睡觉睡觉手机号死多互动糊的小嘎东西呀关系饿呀高压对策古法好热付还发日达,1
使徒来临,1
是我们国内标准的18000倍,1
那你为什么不阻止,1
向东扩散好好好,1
所以照这个局势，美国西海岸反而会达到很高的浓度,1
光说不做,1
1800吧？听说日本数据作假，减少10倍公布的,1
我是牛马过客，无所谓,1
如果已经这样了 那么早就扩散了,1
EVA?,1
这是米狗纵容的，针对东亚文明圈的核打击，还不知如何还击。,1
日本这个国家真是祸害地球海洋环境,1
所以怎么办？,1
日本会害死自已，还有bgm在整活,1
这是真的使徒来袭了,1
恐怖如斯,1
大气循环更快,1
不敢开枪，都叫什么叫！,1
我真心敬佩他们,1
全人类终将全部受影响，无一例外,1
配乐好听,1
这么干下去，真的会引起战争，这日本是真不懂吗？？,1
别玩核电，你们不配别玩核电，你们不配,1
丧尸鱼？,1
我们旁边怎么就有个这么恶毒龌龊的邻居,1
新世界辐音战士,1
不仅仅是氚？里面有多种危险核素！,1
日本是在与全世界为敌​,1
海产,1
抵制日本所有产品,1
偷袭珍珠港,1
雨水更快,1
真有这么严重，国家这都不敢干他小日子吗。还这边讲这么多有用吗，盐都没地方买了。,1
海鲜跟海盐还有沙滩，要说再见了？,1
是早就偷偷排放了！,1
倒是用实际行动去阻止日本排放核污水啊、全球都没办法阻止吗？,1
日企全部赶出去,1
200多天就到我们这了,1
坚持抵制日本排放核污染水！！！,1
这样祸害人类的国家有必要存在吗？,1
日本受美国指使，人为制造水资源紧缺，以后大家喝水都要钱了，感谢丑国和日鬼子,1
对！加油！,1
加油，我们一定会胜利的,1
坚持到底！,1
说谁接受，tm的准备放小男孩,1
各位见过长脚的鱼和多头鱼吗？福岛有噢,1
社民壬加油啊,1
日本立即停止核污水排海,1
绝不放弃 ，采取一切手段，阻止日本排放,1
加油，勇士们。,1
支持，比尹国派有血性,1
韩女和一般棒子是不一样的,1
致敬英雄！！！,1
战士,1
忠!诚!,1
这不是男女都有嘛,1
勇士!,1
勇士!!!,1
老头老太太,1
坚持下去,1
谢谢你们！！！,1
坚持到底！！,1
《一定理解》,1
还有两天时间就要拍孩子,1
岸田大雄，甘文崔,1
mb的，靠,1
加油，我们不能麻木,1
加油！！！！不能吞声咽气,1
永不妥协！,1
一起加油,1
日本的正义之士，加油，支持你们！！！,1
日本是没有年轻人了?,1
頑張る,1
がんばろう！,1
必须停止排放,1
说得对 加油,1
我们一起加油,1
加油坚持，不要放弃！,1
倒是做点什么啊呜呜呜,1
砸了日本测车全部换 byd,1
砸车。  砸车。               砸车。        砸车。  ,1
你们的反对有用吗？,1
不你现在看着就没什么客人的样子啊,1
污水不是废水,1
排海  水循环  全球都是辐射,1
说唱！？！？,1
想多了，事故前3个月都是废水直排,1
不担心生计担心什么,1
福光岛变暗影岛珍贵录像,1
这几个人,1
可惜的小伙，马上就要变异了。,1
老人家,1
小哥有点小帅,1
我们说听不见就是听不见，声音这么小还敢开军舰,1
←不是克苏鲁生物，都是胡乱变异的生物,1
怎么像唱歌,1
听不见！！,1
这应该是附近住的人吧 或者是员工啥的？,1
排合唱呐你们？,1
这不就是中文吗哈哈哈,1
安倍小泉都是日本首相,1
没吃饭？？？？？？？？,1
日本，美国，地球毒瘤！,1
一群老年人，没劲正常,1
釣魚是圖一樂的，不一定吃,1
好像看到了个九头蛇图案,1
有气无力,1
这不堵路？,1
赶紧给它施压，不然再丢两颗原子弹给日本看看核污染的危害,1
没有劲，根本听不见！,1
没逝的啦,1
台湾人爱吃呀,1
排海鱼都卖不出去,1
日本老龄化严重不是吗？,1
听不见!!!,1
这么帅，还以为是明星,1
你那是立正的姿势吗！,1
现在谁还去福岛旅游啊，自欺欺人了算是,1
肯花钱造火箭，不肯花钱处理辐射水，就挺淦,1
教日本话？,1
这么小声?,1
日本人全体核裂变，gg,1
这口号喊的,1
核污水排放之后全世界的鱼都不能吃了,1
还是因为触及利益才反对,1
其实人不多，意思意思,1
没有劲,1
能不能出点三次元排污后灾难纪录片?,1
可不止氚，氚是危害最轻的一种核元素，还有上百种核元素呢,1
可 只有氚？还是只检测氚,1
韩国渔场早没了几万条鱼，还700天。你BB就算啦还想人家信700天,1
我估计100天不到就到中国了,1
中国专家怎么计算的？每一次台风，太平洋暖流不会加速吗？,1
eva哦,1
眼睁睁看着。。。,1
一个台风就带来了，不用那么多天,1
你它们报到工明年少了竞争力相应也少。,1
我很高兴有“北太平洋暖流”的存在。,1
应该科普一下太平洋暖流。,1
"小倭的核污水(废水(无用之水)和污水(污染之水)还是有点区别的)会影响整个地表生物圈,没有什么可以逃的掉,但是少吃海鲜等海洋产品可以减弱相关危害(尤其是上海地区将是污染的重灾区),其实根据米弟以往的习",1
根本听不见，重来,1
人不为己 为谁呢,1
严重怀疑你们是演的,1
团子,1
这么老了，还没退休呢？,1
潘长江？,1
没几个人，没人当回事的,1
福岛变成辐岛,1
妆膜作样,1
坚决支持排海行动,1
小团团老大爷版,1
儒家思想修身齐家有什么问题？,1
在唱歌吗,1
没吃饭吗,1
严防辐射食品走私入境,1
几乎全是老年人,1
人少的哟，就几个人反对？,1
有棒子商人进口福岛鱼给棒子吃,1
现在你以为钓的鱼就不是辐射鱼了吗,1
这字像小孩画的,1
韩女有事是真上啊,1
支持他们,1
我要看记者,1
核事故水,1
错，已经开始了,1
已经结束了，联合国军讨伐小日子嘛,1
总结：一个含有核元素物质，一个没有单纯只是水,1
半小时了播放还不到1万,1
大家看这个视频，复制链接就好了,1
完了…,1
打核弹过去啊,1
这个可是要弄清楚，小红书上一群人还有人拿大亚湾排水作比较，不是一个性质,1
长得像coach,1
1分钟,1
东~京~~,1
憋笑是件很难受的事情,1
这个记者好漂亮啊,1
炸平它啦，还等过年啊？反正都是污染了辐射比病毒更可怕,1
黑色高级轿车（,1
记者都绷不住了,1
忍者神龟有了，正在法甲踢球,1
但是今天已经排海了,1
要组织它们继续排放核污水！千万不能放弃！,1
英雄！,1
要阻止它们排放核污水！,1
咱们自己转有什么用，小日子该怎么干还是怎么干,1
核废水（核反应堆冷却水）可以说是世界上最干净的水之一,1
“核素”是什么,1
坚决抵制日本排放核污水！海洋不是日本的下水道！,1
现在一堆还在疯狂洗地,1
有用吗！没有用,1
有日本这样的是地球文明败笔,1
说的都是中文,1
还好我从来不看小红书,1
积极响应,1
还有洗的二鬼子呢，淦,1
快转发,1
鬼子企图偷换概念,1
它要排三十年,1
满口谎言的小日子,1
还没结束，才刚刚开始！,1
禁止脚盆鸡来华，并遣送所有在华脚盆鸡返日,1
卧槽，笑场可还行,1
对不起，太滑稽了，差点忍不住笑出声,1
战地记者真漂亮,1
下克上，我排了你能把我怎么着,1
这是在面粉里洗的脸吗？,1
安全性，笑死了，真是安全的怎么不直接倒福岛啊,1
人性啊,1
早就排了大半了,1
贝贝,1
这记者什么颜值啊,1
日本市,1
应该是获得了美国政府的支持,1
哥斯拉终于要出来了，日本人应该要多喝点，要变异成凹凸曼打怪兽。,1
只检测放射性！,1
美国高层说以后战争还得抢水资源。也就是说它们已经污染了,1
当初核泄漏不到一年，日本就把福岛海产品悄悄卖到了东南亚,1
那以后还有什么安全食品，日本这一下绝了全球人的生存路,1
那边热不热？,1
退钱!,1
美女姐姐 保护好自己,1
切尔诺贝利西方世界曾经跳的那么高，福岛就选择性无视？,1
哥斯拉准备诞生在福岛附近海底深处了,1
以后不敢吃我最喜欢吃的海产品了,1
记者颜值好高啊，新闻讲的是啥？,1
从古到今，日本都不是一个好的国家,1
这颤音是代表重点吗？,1
贫铀,1
谁说安全。能不能喝一杯,1
我擦，这戴口罩颜值超神啊,1
是时候解放日本了。,1
排放前，意思是不管结果如何，都要排吗？,1
意思就是先斩后奏呗,1
少了很多（物理,1
在试探,1
京~,1
锦绣多味鱼,1
记者好漂亮！,1
马上检查团就要过去了，你们记者小心收集材料，注意休息,1
多报道这些国家真实的危害人类的行为是对的，但是要注意自身安全，加油！,1
为什么不排放到濑户内海,1
扣钱,1
转发了 大家动动指头转发呀,1
好一个工匠精神！,1
不要再排了,1
日本是垃圾国家，垃圾民族！从不悔改！,1
星星之火,1
堪比安重根的勇士们，支持！,1
第一次这么支持韩国人的行为,1
真的很佩服！,1
敬佩！,1
最支持韩国人的一次,1
看不起韩国，但是无法轻视他们,1
他们是勇士！,1
我比不上她们,1
世界上还是好韩国多呀,1
向英雄致敬！,1
最支持他们的一集,1
真 正 的 韩 国 人,1
地球可以没有日本，但不能没有你们,1
我仍然没忘记那个日服国一男枪,1
韩国人终于干了件正常的事 ,1
还有人报是我没想到的,1
致真正的英雄，献上至高的敬意,1
最支持韩国的一次,1
兄弟牛逼,1
日本让污染传到全世界却不许有人反对？,1
但事实是，自己会蹲局子，国家还要补偿,1
怎么这时不加个“女”字了 ,1
韩女是真的猛,1
16名英雄！,1
都是英雄,1
最有觉悟的一集,1
韩女真的勇,1
各位务必要看:注意别疲劳，现在系统一直给我推这些视频，这不是好事，官方希望我们感到厌烦疲倦。请在评论的时候，把这些话带给其他同志们，一定要坚持下去​,1
敬勇士,1
这些人应该去美国大使馆闹,1
真正的地球人！！！！！！！,1
支持他们！！！！！！！,1
好样的！！！！！！！！！！,1
勇士！！！！！！啊啊啊啊！！！！！！！！！,1
勇士！！！！！！,1
好勇敢的女孩们！,1
还去 那就不好了,1
有所下降？？？,1
泛太平洋恶邻,1
去吧，小日子让先吃福岛海鲜才让入境，去吃核海鲜吧,1
东电的话都是hhhl,1
这热度真的搞笑,1
日本多行不义必自毙,1
三连点起来,1
到底怎么样才能阻止他们不排啊,1
发是发了，但是能不能采取点措施啊,1
骗瞒成性,1
原来切尔洛贝利电影中说的隐瞒的情节出自这里,1
弓匠精神,1
还在融,1
我很好奇，现在那个堆芯怎么样了？还在往地下融吗,1
核工业落后的日本自己再搞核弹弄不好自己先被辐射照死……,1
卡脖子了,1
日本人的本性,1
能花700亿公关，不愿意花700亿处理核污染水的小日子,1
倭寇无耻！！！去死吧！！！,1
这下核心科技了,1
谎话连篇劣迹斑斑,1
欺瞒仙人,1
emmm,1
就应该这样，安全第一。好了也不去,1
部分游客退票说明还是少部分，觉悟不够力度不够,1
居然还有人敢去,1
退了,1
就这还敢去，这还要去的那部分人，，，,1
谁这种情况下还去,1
这就对了！,1
《下降》《部分？》,1
都这样了，居然才有所下降？日本有啥好的？核污水就那么好喝？,1
2014年4月？？！！！,1
竟然还有人去日本旅游？,1
去日本旅游的人怎么想的？,1
还有汉奸去,1
去了正好以身试毒,1
现在还有去鬼岛的狗子呀！！！！！！！！,1
汉奸多去,1
应该对日旅游进行黑色警报,1
而且谁知道他喝的是不是自来水。。。,1
别吃了小心得癌症,1
20米，,1
哥斯拉出现,1
可以开金条了（喜）,1
小姐姐有点哽咽了,1
美女很拚,1
赞点给一线工作者,1
我天,1
哥斯拉制造地,1
不是福岛是核岛,1
准备是发光海,1
担心还排呢,1
穿防化服啊,1
有没有一种可能，就是小孩子说他要拉尿的时候，其实他已经拉了一半,1
怎么没有防护服呀？注意安全呀,1
富士山:呼叫隔壁邱小姐，帮忙带瓶开塞露,1
姐姐那么漂亮，要保护自己,1
注意安全，注意安全,1
姐姐保护好自己啊,1
站那里有啥事？别乱接触东西就好了,1
记者要注意安全,1
捕捞量大，销售无门……,1
捕怪兽吧,1
没事，有躬匠精神,1
这玩意儿一整个生化武器,1
什么东西每天都在造核污水，它们想干嘛,1
它们能不能排富士山去,1
坐以待毙吗？,1
唉，怎么会拿它没办法啊,1
所以这是全面核战争吗,1
这是人类灭绝计划吗,1
小姐姐注意安全！做好防护!,1
啥，还有两成？,1
淹了吧这国家没有存在的必要了,1
有没有啥东西能把水流返还給日本啊,1
能不能排富士山去，md,1
没人正常，台风要来了，出海找死吗,1
降临派其实没错，错的是哲学不过关，去皈依有问题的外星人，人类在这问题上真的很难，越拖越危险,1
阿古茹，赐予我力量吧！,1
海氚奔硫,1
加的水有海洋水多？,1
自己的鱼自己吃吧,1
感觉记者的声音有点沙哑,1
睫毛的影子  哈哈,1
以后的海产品：日本的人类还能不能吃（探头探脑）,1
注意防护，保护好自己吖,1
一般城市是0.2，东京要是0.01，那我只能说东京的环境太好了,1
以后日本真的是需要奥特曼了,1
曰笨,1
切腹自尽不能解决问题，用枪口顶着东电和日本政府要他们停止排海用环保花钱方式解决,1
相机也要注意电离辐射啊（,1
一点防护都没有 是意思没危险吗,1
氚还好，钴60要命哦，半衰期长的很,1
我的打算本来是长大了去海边生活，现在…,1
现在27号了,1
2就是极限百倍了,1
正常范围是0.01-00.2，己经十倍了,1
韩国611,1
现在不吃，最后也得吃，除非你什么都不吃,1
渔业资源只是开始，最终所有东西都带辐射,1
准备研究科技枪吧，往后打怪兽了,1
它是怎么敢的？是谁？有什么阴谋！,1
正常本底到0.2都还好都挺正常的,1
这个手势不错,1
2挺高的,1
《汞僵》,1
去海里试试,1
以后不用去捕鱼了，鱼自己会长腿走上岸来,1
历史会铭记这一刻的,1
勇士，致敬,1
你不怕辐射吗,1
稀释会通过生物链的聚集效应又回到人体,1
镶对氨醛,1
《辐氘》,1
这睫毛得影子这么长啊,1
《最后的净海》,1
辐射真的高，姐姐辛苦,1
鱼民都放假了,1
才3成？？,1
渔民？？？全球气循环都得受 罪,1
日本鬼子罪该万死！,1
手的皱纹有点多,1
注意安全啊，防护服快穿上,1
辐射致癌,1
现在各国可能都在抓紧时间造水质过滤器了……,1
居住24小时  全天,1
日本生可乐~,1
这下渔船也可以拆了,1
返了有啥用，饭碗都没了,1
这下把渔民饭碗整没了,1
完了以后不能吃海鲜了,1
工伤工伤,1
记者工伤工伤,1
工伤,1
看来哥斯拉只是时间问题,1
吹吧，还0.01，你在太阳底下的辐射都不止0.1,1
还得是央视记者够拼,1
这个辐射量屁事没有,1
日本人是海洋生物最好的饲料,1
以后，日本人是海洋生物最后的饲料,1
各方，仅指美国,1
最了解的人就是当地人了,1
勇士！！,1
人类探索了海洋5%，剩下百分之95要来探索人类了（乐）,1
注意安全啊 ^_^ ,1
稀释再排海？排海不就等于稀释了嘛？,1
勇！注意安全！,1
山上前辈，回来吧，在拯救我们一次,1
氚本身还好，主要是日本宣称处理其他放射性元素的ALPS可靠性非常值得质疑,1
捕捞哥斯拉哈哈,1
注意安全！注意安全！,1
别乱跑呀，不值得,1
扎赞、特贡、古维拉,1
没有任何问题的正常值,1
有问题，不吃最好,1
哥斯拉开始进化了,1
你下午排完再来测测,1
这是本底,1
太美了,1
记者姐姐真不容易啊！,1
她这是不是瘦的有点严重了,1
眼睫毛戴的这么长,1
新闻专业5000块,1
有一个国家这样做，就会有第二个国家这样做，海洋迟早变成辐射洋,1
这个Thermo的辐射检测仪，tb上卖16500元……吓死,1
水是生命之源,1
鱼类变异长出角，脚算是超级进化吗？,1
我总觉得它除了这还会干点啥,1
这怕不是5年后 吃哥斯拉了,1
好想把日本轰到美国去,1
特别是看到美日韩联合会议，总感觉没安好心,1
它们到底想干嘛，明知道会损害很多人的利益还要排,1
而且这玩意儿一直在生产核污水，md,1
希望有越来越多人意识到问题的严重性,1
愿我能正常老死,1
真不怕吸收到放射性物质吗,1
md为毛离日本这么近啊,1
日本没了可能就纳入美国了，它们不会还想着侵略吧,1
日韩不会被美国承诺收容吧，比如用整个日本的国土覆灭移居美国,1
我感觉日本韩国像要弃国一样……,1
日本离我们怎么这么近，md,1
我们能不能把日本整块地割开让它漂流到美国去,1
年纪轻轻就噶了,1
未来不会真的人类寿命极速缩短吧,1
这里不宽敞吗？它们不能在这些地方储存吗？,1
能不能来颗陨石把日本砸了啊，好烦，UFO能不能制裁它,1
哥总来了,1
省流：引爆日本,1
日本百姓真窝囊,1
日国以无德为常规手段,1
快跑要排核了,1
躬酱,1
她的声音听着好难受啊,1
《死寂的海洋》,1
注意安全，注意防护！！,1
产生变异物种那得是等我们这代人死了才有的事了,1
记者同志快回来吧，别在那破地方呆了,1
快点回来吧！,1
0.12微西弗每小时说不定比你家里还小。,1
穿白衣服就对了,1
太平了吧也,1
会不会增加doge,1
怎么没有配个防护服,1
看新闻就看新闻一直盯着记者外表评头论足有bing啊？,1
让我去,1
赶紧回国吧，这么漂亮太可惜了，让我去,1
做好防护，别身在辐中不知辐,1
日本官方：处置是处置，倒是倒，这是两码事,1
哪怕有些诸如零部件没办法，也要拒绝所有能替代的日货！,1
战地记者，注意安全，带个口罩，穿个防护服注意安全,1
小日子想着拉全球一起玩完,1
真战地记者,1
？？这真的可以实地吗,1
奥特曼和怪兽真的要来了,1
以后是海产品吃你,1
疫情时候常能看见你播报新闻，妹子注意安全,1
让记者穿放辐射服啊！！！！！？,1
日本买的辐射仪会不会出厂前就被调低了,1
赛默飞太贵，国产也有,1
大家不用关心鱼，他们自己回上岸的,1
谁敢啊,1
不能(即答）,1
可以再减百分之八十,1
那些个海洋保护协会的人不跳出来了吗,1
能看出记者很生气,1
上课铃声全世界统一？,1
央视的记者小姐姐好漂亮，这手爱了,1
哥斯拉会蒸救你们,1
真就无想忍峡,1
可以捞哥斯拉,1
相对安全，不安全都在海里,1
口罩？你以为病毒？,1
我还没吃过小龙虾 呜呜,1
捕了也没人要，没人吃，这下海就是赔钱,1
买回来我怕海鲜把我吃了,1
笑死稀释之后放就没事了是吧，你猜海是不是由水组成的,1
记者吓死了，嗓子都在发颤,1
吃个卵子，都这样了还能吃个锤子,1
《上涨》,1
曰夲排核污染行为简直是丧心病狂。这是在向世界人民做挑战。,1
辐射或成真实事件改编游戏,1
不可能永远不打鱼,1
山海经是写实记录,1
死了一个前首相，后面的是美国扶持的，前面那个狡猾如狐，不会相信美国那一套的,1
钚钛平洋,1
《寂静港》,1
以后海产品不吃人都算好了，还吃海产品呢,1
这个小小的辐射检测仪价格上万,1
这睫毛,1
日本的高层从来都没有为自己的人民着想,1
你是人民英雄,1
没人买捕个毛,1
保护海洋保护生灵！南无阿弥陀佛保佑善人！,1
西蒙出名了,1
日本人为了长身高什么都做得出来,1
为什么不穿防护服啊,1
快回家吧,1
渔船都是新的，估计是政府拖来撑场面的,1
叶文洁!,1
↓哥斯拉云,1
          ↓哥斯拉云,1
连个防护服都不穿？？？？,1
变异物种补完计划,1
中国人还是日本人,1
他想直接倒海里面稀释吧,1
没有防辐射服吗，快给小姐姐穿上啊！,1
给！我！砸！！！,1
穿上铅衣吧,1
摄影师:就没有人关心我吗？,1
就是本底,1
渔民以后可以专职成怪物猎人了,1
你拿个仪器测测行不行,1
日本政府是真的蠢,1
海鲜不敢吃了才对,1
注意安全，瑞思拜,1
真正的孟士,1
地球只有一个，日本必须死,1
←要是录像都能拍到噪点了那摄制组就真回不来了,1
渔民准备升天,1
废弃的日本政府。,1
好长好长的睫毛,1
太不安全了！！,1
一个小时这么快？,1
前面的，我对人类有信心，只是对鬼子没信心而已,1
理解一下狗要是听得懂人话那就好了,1
免费都不要,1
我还没有看过大海。。。。,1
笑死了，可怜这些渔民,1
《一片死寂》,1
防护也不做了？？？,1
建议约翰斯霍普金斯大学统计部，每日统计和废水死亡鱼虾贝类数量，向上峰汇报,1
核辐射刺身，美滋滋,1
还见怪兽，以后我们就是怪兽！,1
海鲜大餐:烧烤哥斯拉,1
小姐姐，做好保护啊,1
承诺就是用来打破的,1
不用稀释后再排放，放大海里慢慢稀释呗,1
大海那么多生物 感觉难免会进化出适应环境的怪物,1
还算正常,1
但铀的高达4亿年,1
直接排海不是更稀释吗,1
别说日本，其它地区的海产品都不能吃,1
肯定不能吃啊！！！不用想,1
《相对》《短期》,1
中指好评！！！,1
有怪兽第一个灭的也是小日子,1
姐姐不穿个防护服吗,1
下降三成不错了，因为这起码还算是可能没有被污染的鱼，但是被污染给我我才不吃,1
太危险啦,1
大海都没办法稀释,1
指数0.5是报警。。。指数0.8是危险。。再高就是直接暴露。。。,1
日本将成为第一批进化的人类,1
我一次都没去看过海，你要我怎么活？啊啊啊啊啊啊啊啊啊,1
日本欠的钱都没还呢，说话还敢信,1
活该，,1
你来真的啊,1
哥斯拉:等我，我很快就来,1
快走吧,1
记者姐姐，注意安全啊,1
100年后就真有鱼人这一种族了,1
战地记者美女，注意安全哈,1
捕猎哥斯拉,1
还有2成...,1
罪恶根源,1
盖亚曾经说过如果地球抛弃人类，就不会有奥特曼。可是地球真的没有奥特曼啊,1
鞠躬doge,1
3成，白送喔都不要,1
手很好看，注意安全,1
怎么有上课铃？,1
【【【央视从来不说假话 】】】,1
为啥不穿防护服啊,1
请记者注意安全,1
你越稀释它的量就越多两种水密度就很接近更容易扩散的远也扩散的更快,1
小型氢弹中和阿，说到底就是成本太高他不愿意,1
我国海域内循环，小日子的水会先影响美丽国,1
二战遗留问题一次解决！！！,1
战犯政府，这次又和全人类为敌,1
多么精干的人阿,1
thermo辐射仪 挺专业的,1
不用捕鱼，以后鱼会自己上来,1
喜欢这个女记者,1
还想吃干啥,1
辐岛啊？,1
。。。。。。2要死人的,1
东京电力公司根本就是吃人企业,1
还捕鱼呢，过两天鱼都要上岸玩捕人达鱼了。,1
注意安全 注意安全 注意安全,1
成为不了问题，肯定不能吃啊,1
茜文宝贝,1
小姐姐哽咽了,1
三体人出击,1
我擦，颤音了。受到威胁你就眨眨眼,1
2稍微高一点，不过短期停留基本没问题,1
负责？根本不负,1
日本平民也挺惨的，自己政府这样,1
背叛人民的，就注定被人民抛弃,1
对世界上所有在意生态环境的人民来说都是非常严重的,1
海啸都没让他如此穷困,1
俄罗斯那个核泄漏，，，当年辐射是现在的是八百万倍，呆40秒就死。这里目前相对来说短期停留辐射度还行,1
记者姐姐穿上防护服吧！,1
香蕉就0.07微希/时了，正常城市0.1左右，人正常一年会接受自然辐射2400微希,1
前面那条，应为他这个是直接被污染了的水，并不只是没接触的冷却水,1
正常城市0.1左右,1
假如我在某地测得比福岛高，我是说假如啊，阁下该如何应对,1
好消息是：可以见到真正的怪兽了。,1
15:27,1
这皮肤看起来有点干啊,1
日本政府 死罪,1
日本不会是解决不了了 要把全人类拖下水吧,1
记住 这是官方 ,1
就算正常，小八嗄也不敢回去住,1
哥们倒水的时候手都在抖,1
辐                  岛,1
那些讲氚半衰期12年，那是排一次吗？,1
吃哥斯拉刺身，品基多拉红烧肉,1
md，就应该把日本打了，这种垃圾国不配出现在地球,1
合家欢乐,1
以前都是我们探索海洋，马上海洋里的东西就要上来探索我们了,1
温顺的进入这良夜,1
什么衣服能防辐射，有谁告诉我,1
有图有真相，你倒是把它拍出来呀,1
你这是为他申冤,1
伊姆在暗中策划,1
好家伙，看财经频道经常出来的茜文,1
注意个毛！谁敢动！！！,1
见证哥斯拉和环太平洋机甲同框,1
“鱼民”,1
保护我方记者！,1
茜文大美女,1
请相信我，2033年8月27号会出现僵尸,1
这是一个跟核纠缠不清的民族,1
一家之言,1
必须为记者一键三连,1
为什么不穿防护服啊！,1
标准时多少啊？？？,1
《怪物猎人2023》,1
要注意安全啊，姐姐,1
要穿防护服,1
消灭人类暴政，世界属于三体。,1
太可怕了，了无生机，恐怖啊,1
姐姐妳咋没戴个口罩啥的，太危险了啊,1
日本管不了吧，东京电力公司背后实际控制人美国。,1
《祸岛》,1
她说话好像刘恋,1
海都有点发黑了,1
哪天有丧尸了我也能理解,1
剩下还未被发现的海洋生物要上来找人类了,1
哥斯拉申请出战,1
小姐姐注意安全！,1
百氚东倒海，何时复西归？,1
又会发生再次巨大的变化？,1
这里是净土，不干净，但很安静,1
希望你没出事,1
能吃也不吃,1
快回来吧，咱不去那破地方，暂不需要现场情况,1
减少了10成甚至9成（doge）,1
我觉得日本没必要存在灭了啥事不就没有了么,1
？注意安全,1
勇！,1
投个氢弹，把日本和核污水一起解决（bushi）,1
好年轻,1
《归还困难区》语言艺术实属给日本玩明白了,1
有大佐吃，你不用操心,1
还捞毛的鱼 泥给路达哟,1
因为捕鱼也没人买，都回家歇了,1
这睫毛粘上去的吧,1
